# totalCols: 21
# totalRows: 4
#1: platform brick	#57: card	#50: portal	#...
#objId	row	col	objType
1	2	19	57
2	3	0	1
3	3	0	1
4	3	0	1
5	3	0	1
6	3	0	1
7	3	0	1
8	3	0	1
9	3	0	1
10	3	0	1
11	3	1	1
12	3	1	1
13	3	1	1
14	3	1	1
15	3	1	1
16	3	1	1
17	3	1	1
18	3	1	1
19	3	2	1
20	3	2	1
21	3	2	1
22	3	2	1
23	3	2	1
24	3	2	1
25	3	2	1
26	3	2	1
27	3	2	1
28	3	3	1
29	3	3	1
30	3	3	1
31	3	3	1
32	3	3	1
33	3	3	1
34	3	3	1
35	3	3	1
36	3	3	1
37	3	3	1
38	3	3	1
39	3	3	1
40	3	3	1
41	3	3	1
42	3	3	1
43	3	3	1
44	3	3	1
45	3	5	1
46	3	5	1
47	3	5	1
48	3	5	1
49	3	5	1
50	3	5	1
51	3	5	1
52	3	5	1
53	3	6	1
54	3	6	1
55	3	6	1
56	3	6	1
57	3	6	1
58	3	6	1
59	3	6	1
60	3	6	1
61	3	6	1
62	3	7	1
63	3	7	1
64	3	7	1
65	3	7	1
66	3	7	1
67	3	7	1
68	3	7	1
69	3	7	1
70	3	8	1
71	3	8	1
72	3	8	1
73	3	8	1
74	3	8	1
75	3	9	1
76	3	9	1
77	3	9	1
78	3	9	1
79	3	9	1
80	3	9	1
81	3	9	1
82	3	9	1
83	3	10	1
84	3	10	1
85	3	10	1
86	3	10	1
87	3	10	1
88	3	10	1
89	3	10	1
90	3	10	1
91	3	10	1
92	3	11	1
93	3	11	1
94	3	11	1
95	3	11	1
96	3	11	1
97	3	12	1
98	3	12	1
99	3	12	1
100	3	12	1
101	3	12	1
102	3	12	1
103	3	12	1
104	3	13	1
105	3	13	1
106	3	13	1
107	3	13	1
108	3	13	1
109	3	13	1
110	3	13	1
111	3	13	1
112	3	14	1
113	3	14	1
114	3	14	1
115	3	14	1
116	3	14	1
117	3	14	1
118	3	14	1
119	3	14	1
120	3	14	1
121	3	15	1
122	3	15	1
123	3	15	1
124	3	15	1
125	3	15	1
126	3	15	1
127	3	15	1
128	3	15	1
129	3	16	1
130	3	16	1
131	3	16	1
132	3	16	1
133	3	16	1
134	3	16	1
135	3	16	1
136	3	16	1
137	3	17	1
138	3	17	1
139	3	17	1
140	3	17	1
141	3	17	1
142	3	17	1
143	3	17	1
144	3	17	1
145	3	18	1
146	3	18	1
147	3	18	1
148	3	18	1
149	3	18	1
150	3	18	1
151	3	18	1
152	3	18	1
153	3	18	1
154	3	19	1
155	3	19	1
156	3	19	1
157	3	19	1
158	3	19	1
159	3	19	1
160	3	19	1
161	3	19	1
162	3	20	1
163	3	20	1
164	3	20	1
165	3	20	1
166	3	20	1
167	3	20	1
168	2	1	142
169	2	1	142
170	2	1	142
171	2	1	142
172	2	3	142
173	3	3	142
174	2	5	142
175	1	10	142
176	2	10	142
177	2	14	142
178	2	14	112
179	2	14	112
180	2	14	112
181	3	14	112
182	3	14	112
183	3	14	112
184	3	14	112
185	3	14	112
186	3	14	112
187	3	14	112
188	3	14	112
189	3	14	112
190	3	15	112
191	3	15	112
192	3	15	112
193	3	14	112
194	3	14	112
195	3	15	112
196	2	11	1
197	2	11	1
198	3	11	1
199	3	11	1
200	3	11	1
201	2	11	1
202	3	11	1
203	3	11	1
204	2	12	1
205	3	12	1
206	3	12	1
207	3	12	1
208	3	12	1
209	3	12	1
210	2	16	1
211	2	16	1
212	2	16	1
213	2	16	1
214	1	10	4
215	1	11	4
216	1	11	4
217	1	11	4
218	1	11	4
219	1	11	4
220	1	11	4
221	1	11	4
222	1	11	4
223	1	12	4
224	1	12	4
225	1	12	4
226	1	12	4
227	1	10	4
228	1	10	4
229	1	10	4
230	1	10	4
231	3	13	7
232	2	2	70
233	2	13	70
234	2	2	1
235	3	2	1
236	3	2	1
237	2	2	1
238	3	2	1
239	3	2	1
240	3	13	1
241	3	13	1
242	3	13	1
243	3	13	1
244	2	13	1
245	3	13	1
246	3	13	1
247	2	13	1
248	3	13	1
249	3	13	1
250	0	16	1
251	1	16	1
252	1	16	1
253	1	16	1
254	1	16	1
255	1	16	1
256	1	16	1
257	1	16	1
258	1	16	1
259	2	16	1
260	2	16	1
261	2	16	1
262	3	16	1
263	3	16	1
264	0	16	1
265	1	16	1
266	1	16	1
267	1	16	1
268	1	16	1
269	1	16	1
270	1	16	1
271	1	16	1
272	1	16	1
273	2	16	1
274	2	16	1
275	2	16	1
276	3	16	1
277	3	16	1
278	3	17	1
279	3	17	1
280	3	17	1
281	3	17	1
282	2	1	4
283	2	1	4
284	2	2	4
285	2	2	4
286	2	2	4
287	2	2	4
288	2	2	4
289	2	3	4
290	2	3	4
291	2	3	4
292	2	3	4
293	2	3	4
294	2	3	4
295	2	3	4
296	2	3	4
297	3	3	4
298	2	3	4
299	3	3	4
300	2	3	4
301	3	3	4
302	2	3	4
303	3	3	4
304	2	3	4
305	3	3	4
306	3	3	4
307	3	9	4
308	3	9	4
309	2	9	4
310	3	9	4
311	1	9	4
312	2	9	4
313	3	9	4
314	1	9	4
315	2	9	4
316	3	9	4
317	2	9	4
318	1	9	4
319	2	9	4
320	3	9	4
321	2	9	4
322	2	10	4
323	1	10	4
324	3	10	4
325	2	10	4
326	2	10	4
327	2	10	4
328	2	10	4
329	2	10	4
330	2	10	4
331	2	10	4
332	2	15	4
333	2	15	4
334	2	16	4
335	2	16	4
336	2	16	4
337	2	16	4
338	2	7	6
339	2	8	6
340	2	8	6
341	1	8	6
342	1	8	6
343	0	9	6
344	0	9	6
345	0	10	6
346	0	10	6
347	0	10	6
348	1	11	6
349	1	11	6
350	1	11	6
351	1	11	6
352	0	11	6
353	0	12	6
354	0	12	6
355	0	12	6
356	1	12	6
357	0	12	6
358	1	12	6
359	0	13	6
360	1	13	6
361	3	1	2
362	3	3	2
363	3	6	2
364	3	6	2
365	2	7	2
366	2	3	3
367	2	15	3
368	3	11	3
369	2	9	3
370	2	10	3
371	2	10	3
372	0	16	50
