999	4	2
# === CARD ===
57	384	96	57	0	2
# === Brick === 
1	0	176	0	1	1	0
1	16	176	0	1	1	0
1	32	176	0	1	1	0
1	48	176	0	1	1	0
1	64	176	0	1	1	0
1	80	176	0	1	1	0
1	96	176	0	1	1	0
1	112	176	0	1	1	0
1	128	176	0	1	1	0
1	144	176	0	1	1	1
1	160	176	0	1	1	1
1	176	176	0	1	1	1
1	192	176	0	1	1	1
1	208	176	0	1	1	1
1	224	176	0	1	1	1
1	240	176	0	1	1	1
1	256	176	0	1	1	1
1	272	176	0	1	1	2
1	288	176	0	1	1	2
1	304	176	0	1	1	2
1	320	176	0	1	1	2
1	336	176	0	1	1	2
1	352	176	0	1	1	2
1	368	176	0	1	1	2
1	384	176	0	1	1	2
1	400	176	0	1	1	2
1	416	176	0	1	1	3
1	432	176	0	1	1	3
1	448	176	0	1	1	3
1	464	176	0	1	1	3
1	480	176	0	1	1	3
1	496	176	0	1	1	3
# --- pipe ---
1	128	160	13	10	1	0
1	144	160	14	10	1	1
1	128	144	10	10	1	0
1	144	144	11	10	1	1
# --- hammer brother ---
48	16	150	48	1	0
